lieu,type_lieu,parent_lieu,parent_slug,marque,date_information,prix_paquet_eur,prix_paquet_local,devise_locale_code,devise_locale_nom,prix_moyen_eur_courant,prix_min_eur_courant,prix_max_eur_courant,prix_moyen_local_courant,prix_min_local_courant,prix_max_local_courant,date_derniere_mise_a_jour,annee_page,source_url,source_page_url,source_type
Afrique du Sud,pays_ou_region,,,Marlboro,2026-04-26,2.81,54,ZAR,Rand,2.81,2.32,3.35,54,45,65,2026-04-26,2026,https://www.combien-coute.net/cigarette/afrique-du-sud/,https://www.combien-coute.net/cigarette/afrique-du-sud/,detail
Alaska,pays_ou_region,,,Marlboro,2026-04-24,10.74,13,$ (USD),dollar américain,10.74,10.27,11.98,13,12,14,2026-04-24,2026,https://www.combien-coute.net/cigarette/alaska/,https://www.combien-coute.net/cigarette/alaska/,detail
Albanie,pays_ou_region,,,Marlboro,2026-04-25,3.87,369,ALL,Lek,3.87,3.45,4.71,369,329,449,2026-04-25,2026,https://www.combien-coute.net/cigarette/albanie/,https://www.combien-coute.net/cigarette/albanie/,detail
Algérie,pays_ou_region,,,Marlboro,2026-04-29,2.39,370,DZD,Dinar algérien,2.39,2,3,370,310,465,2026-04-29,2026,https://www.combien-coute.net/cigarette/algerie/,https://www.combien-coute.net/cigarette/algerie/,detail
Allemagne,pays_ou_region,,,Marlboro,2026-04-26,8.7,,,,8.7,8.2,10,,,,2026-04-26,2026,https://www.combien-coute.net/cigarette/allemagne/,https://www.combien-coute.net/cigarette/allemagne/,detail
Alpes,pays_ou_region,,,Marlboro,2015-07-01,11.75,,,,11.75,11,13,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/rh-ne-alpes/,https://www.combien-coute.net/cigarette/rh-ne-alpes/,detail
Alsace,pays_ou_region,,,Marlboro,2015-07-01,9.31,,,,9.31,4.13,16,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/alsace/,https://www.combien-coute.net/cigarette/alsace/,detail
Andorre,pays_ou_region,,,Marlboro,2026-04-28,4.95,,,,4.95,3.5,6,,,,2026-04-28,2026,https://www.combien-coute.net/cigarette/andorre/,https://www.combien-coute.net/cigarette/andorre/,detail
Angleterre,pays_ou_region,,,Marlboro,2026-04-23,20.19,18,£ (GBP),livre sterling,20.19,16.15,20.76,18,14,18,2026-04-23,2026,https://www.combien-coute.net/cigarette/angleterre/,https://www.combien-coute.net/cigarette/angleterre/,detail
Angola,pays_ou_region,,,Marlboro,2026-04-25,1.96,2101,AOA,Kwanza,1.96,1.4,2.98,2101,1501,3195,2026-04-25,2026,https://www.combien-coute.net/cigarette/angola/,https://www.combien-coute.net/cigarette/angola/,detail
Antigua-et-Barbuda,pays_ou_region,,,Marlboro,2026-04-27,6.32,20,$ (XCD),Dollar des Caraïbes de l'est,6.32,,,20,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/antigua-et-barbuda/,https://www.combien-coute.net/cigarette/antigua-et-barbuda/,detail
Antilles néerlandaises,pays_ou_region,,,Marlboro,2026-04-29,8.35,17,ANG,Florin des Antilles néerlandaises,8.35,,,17,,,2026-04-29,2026,https://www.combien-coute.net/cigarette/antilles-neerlandaises/,https://www.combien-coute.net/cigarette/antilles-neerlandaises/,detail
Arabie Saoudite,pays_ou_region,,,Marlboro,2026-04-29,6.37,28,SAR,Riyal saoudien,6.37,5.69,7.97,28,25,35,2026-04-29,2026,https://www.combien-coute.net/cigarette/arabie-saoudite/,https://www.combien-coute.net/cigarette/arabie-saoudite/,detail
Argentine,pays_ou_region,,,Marlboro,2026-04-27,3.24,5281,ARS,Peso,3.24,2.32,4.27,5281,3782,6960,2026-04-27,2026,https://www.combien-coute.net/cigarette/argentine/,https://www.combien-coute.net/cigarette/argentine/,detail
Arménie,pays_ou_region,,,Marlboro,2026-04-27,2.3,1001,AMD,Dram,2.3,2.19,2.99,1001,953,1301,2026-04-27,2026,https://www.combien-coute.net/cigarette/armenie/,https://www.combien-coute.net/cigarette/armenie/,detail
Aruba,pays_ou_region,,,Marlboro,2026-04-25,14.93,31,ANG,Florin des Antilles néerlandaises,14.93,,,31,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/aruba/,https://www.combien-coute.net/cigarette/aruba/,detail
Australie,pays_ou_region,,,Marlboro,2026-05-01,30.68,50,$ (AUD),Dollar australien,30.68,24.54,36.81,50,40,60,2026-05-01,2026,https://www.combien-coute.net/cigarette/australie/,https://www.combien-coute.net/cigarette/australie/,detail
Autriche,pays_ou_region,,,Marlboro,2026-04-25,6.5,,,,6.5,6,7.99,,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/autriche/,https://www.combien-coute.net/cigarette/autriche/,detail
Auvergne,pays_ou_region,,,Marlboro,2015-07-01,11.75,,,,11.75,10,14,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/auvergne/,https://www.combien-coute.net/cigarette/auvergne/,detail
Azerbaïdjan,pays_ou_region,,,Marlboro,2026-04-23,3.01,6,AZN,Manat d'Azerbaïdjan,3.01,2.51,4.02,6,5,8,2026-04-23,2026,https://www.combien-coute.net/cigarette/azerbaidjan/,https://www.combien-coute.net/cigarette/azerbaidjan/,detail
Açores,pays_ou_region,,,Marlboro,2026-04-28,4,,,,4,3.5,4.5,,,,2026-04-28,2026,https://www.combien-coute.net/cigarette/acores/,https://www.combien-coute.net/cigarette/acores/,detail
Bahamas,pays_ou_region,,,Marlboro,2026-04-27,12.81,15,$ (BSD),Dollar des Bahamas,12.81,11.69,13.66,15,14,16,2026-04-27,2026,https://www.combien-coute.net/cigarette/bahamas/,https://www.combien-coute.net/cigarette/bahamas/,detail
